{'CNNType': 'Adapt',
 'CV_Repeats': 1,
 'Experiment Name': 'Model architecture - sampling method but real, not arc - '
                    'timetest: ',
 'FCType': 'Musite',
 'LSTM_dropout': 0,
 'LSTM_hidden_size': 32,
 'LSTM_layers': 1,
 'UseUncertaintyBasedLoss': False,
 'ValidationMetric': 'Validation Loss (total)',
 'aminoAcid': ['Hydroxylation-P'],
 'batch_size': 512,
 'crossValidation': True,
 'data_sample_mode': ['balanced'],
 'earlyStopping': True,
 'earlyStoppingPatience': 50,
 'embeddingType': 'adaptiveEmbedding',
 'epochs': 200,
 'folds': 5,
 'gpu_mode': True,
 'learning_rate': 0.005,
 'loss_function': <class 'torch.nn.modules.loss.BCELoss'>,
 'optimizer': <class 'torch.optim.adamw.AdamW'>,
 'random_state': 2034352338,
 'test_data_ratio': 0.2,
 'useLrWeight': False,
 'weight_decay': 8.309}
(176, 33)
(819, 33)
Loaded folder code/Thesis/dataset/train/Hydroxylation-P/indices (995 samples)
[1,     1] loss: 0.699
[2,     1] loss: 0.694
[3,     1] loss: 0.686
[4,     1] loss: 0.673
[5,     1] loss: 0.654
[6,     1] loss: 0.626
[7,     1] loss: 0.589
[8,     1] loss: 0.547
[9,     1] loss: 0.496
[10,     1] loss: 0.442
[11,     1] loss: 0.381
[12,     1] loss: 0.317
[13,     1] loss: 0.248
[14,     1] loss: 0.197
[15,     1] loss: 0.177
[16,     1] loss: 0.124
[17,     1] loss: 0.126
[18,     1] loss: 0.075
[19,     1] loss: 0.071
[20,     1] loss: 0.054
[21,     1] loss: 0.038
[22,     1] loss: 0.020
[23,     1] loss: 0.020
[24,     1] loss: 0.019
[25,     1] loss: 0.016
[26,     1] loss: 0.017
[27,     1] loss: 0.015
[28,     1] loss: 0.014
[29,     1] loss: 0.013
[30,     1] loss: 0.014
[31,     1] loss: 0.014
[32,     1] loss: 0.014
[33,     1] loss: 0.014
[34,     1] loss: 0.015
[35,     1] loss: 0.015
[36,     1] loss: 0.016
[37,     1] loss: 0.016
[38,     1] loss: 0.017
[39,     1] loss: 0.018
[40,     1] loss: 0.017
[41,     1] loss: 0.018
[42,     1] loss: 0.018
