COMET INFO:     train_loss [7010]                                                                                      : (0.39774590730667114, 0.6971316337585449)
COMET INFO:     validate_Phosphorylation-['S', 'T'] AUC PR [198]                                                       : (0.06661709286659284, 0.6508350966598325)
COMET INFO:     validate_Phosphorylation-['S', 'T'] AUC ROC [198]                                                      : (0.6322631533719232, 0.876557532648825)
COMET INFO:     validate_Phosphorylation-['S', 'T'] F1 [198]                                                           : (0.08850030271733324, 0.5929060106119803)
COMET INFO:     validate_Phosphorylation-['S', 'T'] MCC [198]                                                          : (0.059261958603716705, 0.4950576210411193)
COMET INFO:     validate_Phosphorylation-['S', 'T'] Validation Accuracy [198]                                          : (0.48812, 0.8049878837658808)
COMET INFO:     validate_Phosphorylation-['S', 'T'] Validation Precision [198]                                         : (0.04734776312781038, 0.4832438746280279)
COMET INFO:     validate_Phosphorylation-['S', 'T'] Validation Sensitivity [198]                                       : (0.6761023407729995, 0.8252560028248588)
COMET INFO:     validate_Phosphorylation-['S', 'T'] Validation Specificity [198]                                       : (0.4809397255154372, 0.8136318273228319)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) AUC PR [198]                  : (0.04400212917234439, 0.7379830682777828)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) AUC ROC [198]                 : (0.6655901722391083, 0.8076554158809159)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) F1 [198]                      : (0.05565423327412669, 0.6544229791560753)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) MCC [198]                     : (0.009782638677086909, 0.3788337069853611)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) Validation Accuracy [198]     : (0.057885410513880686, 0.6311136235161108)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) Validation Precision [198]    : (0.028641072516758074, 0.5131382254260373)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) Validation Sensitivity [198]  : (0.9030692779888921, 0.9804735457468576)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(0., device='cuda:0')) Validation Specificity [198]  : (0.03100303951367781, 0.45958702064896756)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) AUC PR [198]                  : (0.05457070747917272, 0.7285137569236946)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) AUC ROC [198]                 : (0.6281994120964345, 0.8533652196134294)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) F1 [198]                      : (0.08137044967880086, 0.6382227758745977)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) MCC [198]                     : (0.04738502500830474, 0.48870396376589265)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) Validation Accuracy [198]     : (0.1528538812785388, 0.7730233163996353)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) Validation Precision [198]    : (0.042511187154514345, 0.557388939256573)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) Validation Sensitivity [198]  : (0.7464788732394366, 0.9794721407624634)
COMET INFO:     validate_Phosphorylation-['S', 'T'](species=tensor(1., device='cuda:0')) Validation Specificity [198]  : (0.11961040503622758, 0.782751868992524)
