{'CNNType': 'Musite',
 'CV_Repeats': 5,
 'CreateFigures': False,
 'Experiment Name': 'HP TUNING - MULTITASK - TESTSET',
 'FCType': 'Adapt',
 'LSTM_dropout': 0,
 'LSTM_hidden_size': 32,
 'LSTM_layers': 1,
 'MultiTask_Species': True,
 'SeperateTuningLRandWD': False,
 'SpecieFeatureHoldout': False,
 'TestSet': True,
 'UseUncertaintyBasedLoss': False,
 'ValidationMetric': 'Validation Loss (PTM)',
 'aminoAcid': ['Hydroxylation-K'],
 'batch_size': 512,
 'crossValidation': True,
 'data_sample_mode': ['oversample'],
 'dontAverageLoss': False,
 'earlyStopping': True,
 'earlyStoppingPatience': 50,
 'embeddingType': 'adaptiveEmbedding',
 'epochs': 200,
 'folds': 5,
 'gpu_mode': True,
 'learning_rate': 0.00370549423,
 'loss_function': <class 'torch.nn.modules.loss.BCELoss'>,
 'onlyPredictHumans': False,
 'optimizer': <class 'torch.optim.adamw.AdamW'>,
 'predictSpecies': False,
 'random_state': 2272658175,
 'species_weight': 0.02797511325,
 'test_data_ratio': 0.2,
 'useLrWeight': False,
 'useSpecieFeature': False,
 'weight_decay': 12.08298979}
[1,     1] loss: 0.776
[2,     1] loss: 0.776
[3,     1] loss: 0.780
[4,     1] loss: 0.780
[5,     1] loss: 0.778
[6,     1] loss: 0.776
[7,     1] loss: 0.776
[8,     1] loss: 0.775
[9,     1] loss: 0.774
[10,     1] loss: 0.775
[11,     1] loss: 0.776
[12,     1] loss: 0.772
[13,     1] loss: 0.770
[14,     1] loss: 0.763
[15,     1] loss: 0.766
[16,     1] loss: 0.753
[17,     1] loss: 0.758
[18,     1] loss: 0.733
[19,     1] loss: 0.723
[20,     1] loss: 0.716
[21,     1] loss: 0.699
[22,     1] loss: 0.666
[23,     1] loss: 0.702
[24,     1] loss: 0.648
[25,     1] loss: 0.641
[26,     1] loss: 0.630
[27,     1] loss: 0.625
[28,     1] loss: 0.617
[29,     1] loss: 0.581
[30,     1] loss: 0.653
[31,     1] loss: 0.603
[32,     1] loss: 0.515
[33,     1] loss: 0.559
[34,     1] loss: 0.596
[35,     1] loss: 0.571
[36,     1] loss: 0.508
[37,     1] loss: 0.576
[38,     1] loss: 0.572
[39,     1] loss: 0.462
[40,     1] loss: 0.513
[41,     1] loss: 0.480
[42,     1] loss: 0.445
[43,     1] loss: 0.459
[44,     1] loss: 0.443
[45,     1] loss: 0.469
[46,     1] loss: 0.674
[47,     1] loss: 0.546
[48,     1] loss: 0.546
[49,     1] loss: 0.463
[50,     1] loss: 0.479
[51,     1] loss: 0.520
[52,     1] loss: 0.460
[53,     1] loss: 0.492
[54,     1] loss: 0.471
[55,     1] loss: 0.445
[56,     1] loss: 0.457
[57,     1] loss: 0.429
[58,     1] loss: 0.404
[59,     1] loss: 0.406
[60,     1] loss: 0.380
[61,     1] loss: 0.433
[62,     1] loss: 0.381
[63,     1] loss: 0.371
[64,     1] loss: 0.385
[65,     1] loss: 0.351
